Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
1,Alisson,br BRA,GK,Liverpool,33-225,1992,25,25,2250,25.0,30,1.2,84,56,66.7,13,7,5,8,32.0,2,2,0,0,0.0,Matches
2,Alphonse Areola,fr FRA,GK,West Ham United,33-077,1993,20,20,1800,20.0,37,1.85,108,76,70.4,4,5,11,0,0.0,6,5,0,1,0.0,Matches
3,Altay Bayındır,tr TUR,GK,Manchester Utd,28-031,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,,Matches
4,Walter Benítez,ar ARG,GK,Crystal Palace,33-116,1993,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,1,0,0,1,,Matches
5,Daniel Bentley,eng ENG,GK,Wolves,32-306,1993,3,3,270,3.0,7,2.33,13,7,53.8,0,1,2,0,0.0,1,1,0,0,0.0,Matches
6,Marco Bizot,nl NED,GK,Aston Villa,35-066,1991,6,5,495,5.5,9,1.64,25,17,68.0,2,2,1,2,40.0,1,1,0,0,0.0,Matches
7,Karl Darlow,wls WAL,GK,Leeds United,35-219,1990,20,20,1800,20.0,24,1.2,73,51,69.9,6,8,6,4,20.0,2,2,0,0,0.0,Matches
8,Gianluigi Donnarumma,it ITA,GK,Manchester City,27-079,1999,33,33,2970,33.0,28,0.85,102,73,72.5,22,8,3,15,45.5,1,0,1,0,100.0,Matches
9,Martin Dúbravka,sk SVK,GK,Burnley,37-120,1989,35,35,3150,35.0,71,2.03,192,127,66.1,4,8,23,4,11.4,7,6,0,1,0.0,Matches
10,Melker Ellborg,se SWE,GK,Sunderland,22-358,2003,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,,Matches
11,Angus Gunn,sct SCO,GK,Nottingham Forest,30-113,1996,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches
12,Dean Henderson,eng ENG,GK,Crystal Palace,29-064,1997,35,35,3150,35.0,47,1.34,140,98,70.0,11,10,14,11,31.4,6,5,1,0,16.7,Matches
13,Mads Hermansen,dk DEN,GK,West Ham United,25-308,2000,16,16,1440,16.0,25,1.56,71,46,66.2,5,4,7,6,37.5,1,1,0,0,0.0,Matches
14,John,br BRA,GK,Nottingham Forest,30-091,1996,5,5,437,4.9,8,1.65,13,6,46.2,1,0,4,1,20.0,1,1,0,0,0.0,Matches
15,Sam Johnstone,eng ENG,GK,Wolves,33-051,1993,12,12,1080,12.0,24,2.0,62,39,62.9,0,2,10,0,0.0,1,1,0,0,0.0,Matches
16,Filip Jørgensen,dk DEN,GK,Chelsea,24-029,2002,5,3,379,4.2,5,1.19,13,8,61.5,1,2,0,0,0.0,0,0,0,0,,Matches
17,Caoimhín Kelleher,ie IRL,GK,Brentford,27-173,1998,35,35,3150,35.0,46,1.31,134,95,68.7,13,9,13,10,28.6,7,4,3,0,42.9,Matches
18,Antonín Kinský,cz CZE,GK,Tottenham Hotspur,23-063,2003,5,5,450,5.0,5,1.0,11,7,63.6,2,2,1,1,20.0,1,1,0,0,0.0,Matches
19,Senne Lammens,be BEL,GK,Manchester Utd,23-312,2002,30,30,2700,30.0,37,1.23,108,74,69.4,16,10,4,7,23.3,4,4,0,0,0.0,Matches
20,Bernd Leno,de GER,GK,Fulham,34-072,1992,36,36,3240,36.0,50,1.39,141,94,66.7,14,6,16,8,22.2,4,3,0,1,0.0,Matches
21,Giorgi Mamardashvili,ge GEO,GK,Liverpool,25-228,2000,9,9,777,8.6,14,1.62,40,28,67.5,3,1,5,2,22.2,2,1,1,0,50.0,Matches
22,Emiliano Martínez,ar ARG,GK,Aston Villa,33-255,1992,31,31,2745,30.5,37,1.21,128,92,71.1,15,6,10,8,25.8,1,0,1,0,100.0,Matches
23,Stefan Ortega,de GER,GK,Nottingham Forest,33-190,1992,3,3,270,3.0,4,1.33,12,8,66.7,0,1,2,1,33.3,0,0,0,0,,Matches
24,Lucas Perri,br BRA,GK,Leeds United,28-156,1997,16,16,1440,16.0,29,1.81,63,38,60.3,4,6,6,3,18.8,4,4,0,0,0.0,Matches
25,Đorđe Petrović,rs SRB,GK,Bournemouth,26-219,1999,36,36,3240,36.0,52,1.44,149,103,69.1,13,16,7,11,30.6,6,6,0,0,0.0,Matches
26,Jordan Pickford,eng ENG,GK,Everton,32-069,1994,36,36,3240,36.0,46,1.28,140,98,69.3,13,10,13,11,30.6,4,3,1,0,25.0,Matches
27,Nick Pope,eng ENG,GK,Newcastle United,34-026,1992,25,25,2236,24.8,35,1.41,111,78,70.3,9,5,11,7,28.0,2,2,0,0,0.0,Matches
